省份,品种名称,亲本来源,类型,原产地,审定编号
江　苏,宁两优7622,宁1207S×R7622,籼型两系杂交稻,江苏明天种业科技股份有限公司等,苏审稻20230031
江　苏,缘两优丝苗,缘88S×丝苗,籼型两系杂交稻,江苏里下河地区农业科学研究所等,苏审稻20230030
江　苏,华浙糯2号,盐粳15号×淮糯12号,粳型常规稻,南京勿忘农种业科技有限公司等,苏审稻20240080
江西,营S,C815S/SB89×C815S,籼型不育系,江西红一种业科技股份有限公司,赣审稻20190071
安徽,富糯628,大华香糯×120-5,粳型常规稻,安徽省创富种业有限公司等,皖审稻20201050
安徽,早籼1902,华早149×中早31/早籼788,籼型常规稻,芜湖青弋江种业有限公司等,皖审稻2023T003
江　苏,中科盐11号,盐稻9号×金稻787,粳型常规稻,江苏沿海地区农业科学研究所等,苏审稻20230063
江　苏,协优925,协青早A×R925,籼型三系杂交稻,江苏里下河地区农业科学研究所,苏种审字第293号
江　苏,协优249,协青早A×镇恢249,籼型三系杂交稻,江苏丘陵地区镇江农业科学研究所,苏种审字第292号
福建,冈优139,冈46A×福恢139,籼型三系杂交稻,福建省农业科学院水稻研究所,闽审稻2006029
安徽,中科粳5号,武运粳27变异株×徐稻9号,粳型常规稻,中国科学院合肥物质科学研究院,皖审稻20211087
安徽,红早1号,早籼240/×中早31/嘉育164,籼型常规稻,南陵县红宝种业有限公司等,皖审稻2023T002
浙江,中组100,中早25×浙1345,籼型常规稻,龙游县五谷香种业有限公司等,浙审稻2020003
江　苏,南粳108,南粳46,粳型常规稻,江苏省大华种业集团有限公司,苏审稻20240079
江西,博优752,博A×科恢752,籼型三系杂交稻,江西省农业科学院水稻研究所,赣审稻1999007
江　苏,泗稻15号,镇稻88/泗稻05-730×盐稻8号/泗稻690,粳型常规稻,江苏省农业科学院宿迁农科所,苏审稻201602
江西,赣早籼37号,秋4010×赣早籼15号,籼型常规稻,江西省农业科学院水稻研究所,赣审稻1995001
江西,荣优225,荣丰A×R225,籼型三系杂交稻,江西省农业科学院水稻研究所等,赣审稻2009017
江西,中优洲481,中9A×洲恢481,籼型三系杂交稻,江西九洲种业有限公司,赣审稻2008026
江　苏,N两优华占,N118S×华占,籼型两系杂交稻,江苏天隆科技有限公司,苏审稻20170005
江西,隆平006,T98A×R402,籼型三系杂交稻,袁隆平农业高科技股份有限公司江西种业分公司,赣审稻2005078
江　苏,淮稻1号,IR8×京引87,籼型常规稻,江苏徐淮地区淮阴农业科学研究所,苏种审字第3号
江　苏,南京16号,Si-Pi681032×UPR103-80,籼型常规稻,江苏省农业科学院粮食作物研究所,苏种审字第348号
江西,先农808,Ⅱ-32A×先恢2018,籼型三系杂交稻,江西省种子公司,赣审稻2006016
江西,先农2058,中9A×D205,籼型三系杂交稻,南京知本种业科技有限公司,赣审稻2006015
江西,Ⅱ优270,Ⅱ-32A×福恢270,籼型三系杂交稻,福建省农业科学院水稻研究所,赣审稻2006014
江西,丰华优3号,白丰A×NHR8,籼型三系杂交稻,北京金色农华种业科技有限公司,赣审稻2006013
江西,丰优大占,天丰A×R1128,籼型三系杂交稻,广东省农业科学院水稻研究所,赣审稻2006012
江　苏,盐两优9111,盐169S×盐恢111,籼型两系杂交稻,江苏沿海地区农业科学研究所,苏审稻20230029
江　苏,徽两优9986,1892S×WR986,籼型两系杂交稻,江苏明天种业科技股份有限公司等,苏审稻20220028
江　苏,昱香两优香丝,昱香S×粮发香丝,籼型两系杂交稻,广西恒茂农业科技有限公司等,苏审稻20220027
江　苏,苏两优124,03S×苏恢124,籼型两系杂交稻,江苏中江种业股份有限公司,苏审稻201104
安徽,金禾粳266,16LYF50×苏秀867,粳型常规稻,安徽荃丰种业科技有限公司等,皖审稻20221107
江　苏,甬优8号,甬粳3号A×K6876,粳型三系杂交稻,宁波市农业科学研究院作物研究所等,苏审稻200615
江　苏,武运粳051,苏秀839/武运粳30号//武香粳19号/扬辐粳8号×武运粳...,粳型常规稻,江苏（武进）水稻研究所,苏审稻20240036
江　苏,常农粳216,宁粳8号×武2917,粳型常规稻,常熟市农业科学研究所,苏审稻20240078
浙江,甬优4550,甬粳45A×F9250,籼粳交三系杂交稻,宁波市种子有限公司,浙审稻2015003
江西,田丰S-2,田丰S,籼型不育系,江西省赣州市农业科学研究所,赣审稻2003028
江　苏,宁香优2号,宁香1A×镇恢42,籼型三系杂交稻,江苏省农业科学院粮食作物研究所等,苏审稻20170004
安徽,登两优22,登69S×R22,籼型两系杂交稻,滁州登农农业科技有限公司,皖审稻20221007
江　苏,扬农稻1号,武育粳3号/68001×武育粳3号/扬粳201,粳型常规稻,扬州大学农学院等,苏审稻200906
江西,帮两优9103,帮191S×R9103,籼型两系杂交稻,江西兴农种业有限公司,赣审稻2014031
江西,株两优101,株1S×EZ10-10,籼型两系杂交稻,江西兴安种业有限公司,赣审稻2014030
江西,星优712,星A×R712,籼型三系杂交稻,广东源泰农业科技有限公司,赣审稻20210082
江西,泰优韵占,泰丰A×韵占,籼型三系杂交稻,江西现代种业股份有限公司,赣审稻20210081
江西,昌盛优246,昌盛843A×C246,籼型三系杂交稻,江西天涯种业有限公司等,赣审稻20210080
江西,汕优736,珍汕97A×R736,籼型三系杂交稻,江西科源种业有限公司等,赣审稻2009016
江　苏,武香粳196,7060-2×S14101,粳型常规稻,江苏（武进）水稻研究所,苏审稻20230062
江　苏,南粳8911,南粳5055,粳型常规稻,江苏省农业科学院粮食作物研究所等,苏审稻20220058
江　苏,泗稻785,盐稻99-1/华粳2号×盐稻99-1/泗稻3377,粳型常规稻,江苏省农业科学院宿迁农科所,苏审稻201309
江　苏,汕优136,珍汕97A×T136,籼型三系杂交稻,江苏里下河地区农业科学研究所,苏种审字第291号
安徽,丰粳3227,武运粳30号×武运粳8号,粳型常规稻,江苏神农大丰种业科技有限公司等,皖审稻20201049
