省份,品种名称,亲本来源,类型,原产地,审定编号,审定方,审定序号,母本,审定公司
广西,H两优6839,HD9802S×R6839,籼型两系杂交稻,广西兆和种业有限公司,桂审稻2012006号,桂审稻,2012006,HD9802S,广西兆和种业有限公司
广西,绮优293,绮A×桂293,籼型三系杂交稻,广西壮族自治区农业科学院水稻研究所,桂审稻2005009号,桂审稻,2005009,绮A,广西壮族自治区农业科学院水稻研究所
广西,博优323,博A×R323,籼型三系杂交稻,广西瑞恒种业有限公司,桂审稻2007032号,桂审稻,2007032,博A,广西瑞恒种业有限公司
广西,望两优华占,望S×华占,籼型两系杂交稻,湖南希望种业科技股份有限公司等,桂审稻2019199号,桂审稻,2019199,望S,湖南希望种业科技股份有限公司
广西,��1优纳丝,��1A×R纳丝,籼型三系杂交稻,广西百香高科种业有限公司,桂审稻2020107号,桂审稻,2020107,��1A,广西百香高科种业有限公司
广西,辐占,辐糯,籼型常规稻,广西农业科学院水稻研究所,桂审稻2001043号,桂审稻,2001043,辐糯,广西农业科学院水稻研究所
广西,博Ⅲ优9678,博ⅢA×R9678,籼型三系杂交稻,博白县农业科学研究所,桂审稻2007031号,桂审稻,2007031,博ⅢA,博白县农业科学研究所
广西,新香优207,新香A×先恢207,籼型三系杂交稻,湖南杂交水稻研究中心,桂审稻2001104号,桂审稻,2001104,新香A,湖南杂交水稻研究中心
广西,金优207,金23A×先恢207,籼型三系杂交稻,湖南杂交水稻研究中心,桂审稻2001103号,桂审稻,2001103,金23A,湖南杂交水稻研究中心
广西,香两优1313,香S×R1313,籼型两系杂交稻,广西瑞特种子有限责任公司等,桂审稻2018084号,桂审稻,2018084,香S,广西瑞特种子有限责任公司
广西,泰丰优淦3号,泰丰A×淦恢3号,籼型三系杂交稻,江西现代种业有限责任公司,桂审稻2015013号,桂审稻,2015013,泰丰A,江西现代种业有限责任公司
广西,竹选25,竹选1号,籼型常规稻,广西钦州地区农科所,桂审证字第058号,桂审稻,058,竹选1号,广西钦州地区农科所
广西,博优8008,博A×R8008,籼型三系杂交稻,广西兆福农业科技有限公司,桂审稻2013019号,桂审稻,2013019,博A,广西兆福农业科技有限公司
广西,��优801,��A×R801,籼型三系杂交稻,广西桂穗种业有限公司,桂审稻2013018号,桂审稻,2013018,��A,广西桂穗种业有限公司
广西,宜香优5979,宜香1A×宜恢5979,籼型三系杂交稻,宜宾市农业科学院,桂审稻2019198号,桂审稻,2019198,宜香1A,宜宾市农业科学院
广西,珍野优11香,珍野A×11香,籼型三系杂交稻,广西兆和种业有限公司等,桂审稻2020060号,桂审稻,2020060,珍野A,广西兆和种业有限公司
广西,先红A,博A×先红B,籼型不育系,广西农业科学院水稻研究所,桂审稻2008024号,桂审稻,2008024,博A,广西农业科学院水稻研究所
广西,T优1202,T98A×R1202,籼型三系杂交稻,南宁市沃德农作物研究所,桂审稻2005008号,桂审稻,2005008,T98A,南宁市沃德农作物研究所
海南,秀优1125,秀A×和恢1125,籼型三系杂交稻,海南中农和盛科技有限公司,琼审稻2021013,琼审稻,2021013,秀A,海南中农和盛科技有限公司
广西,软华优699,G软华A×R699,籼型三系杂交稻,长沙利诚种业有限公司,桂审稻2015012号,桂审稻,2015012,G软华A,长沙利诚种业有限公司
广西,T优682,T98A×R682,籼型三系杂交稻,广西博士园种业有限公司,桂审稻2010003号,桂审稻,2010003,T98A,广西博士园种业有限公司
广西,特优172,龙特甫A×172,籼型三系杂交稻,容县农业科学研究所,桂审稻2006032号,桂审稻,2006032,龙特甫A,容县农业科学研究所
广西,香两优1116,香S×R1116,籼型两系杂交稻,广西瑞特种子有限责任公司等,桂审稻2018083号,桂审稻,2018083,香S,广西瑞特种子有限责任公司
广西,昌两优9号,昌S×恒恢9号,籼型两系杂交稻,广西恒茂农业科技有限公司等,桂审稻2020128号,桂审稻,2020128,昌S,广西恒茂农业科技有限公司
广西,早香1号,P4070F3-3-RH3-1BA选早3×壮香,籼型常规稻,广西农业科学院水稻研究所,桂审稻2001042号,桂审稻,2001042,P4070F3-3-RH3-1BA选早3,广西农业科学院水稻研究所
广西,珍野优郁香,珍野A×郁香,籼型三系杂交稻,广西兆和种业有限公司,桂审稻2020059号,桂审稻,2020059,珍野A,广西兆和种业有限公司
广西,丰两优6号,丰39S×丰恢6号,籼型两系杂交稻,合肥丰乐种业股份有限公司,桂审稻2012005号,桂审稻,2012005,丰39S,合肥丰乐种业股份有限公司
广西,软华优535,G软华A×R535,籼型三系杂交稻,华南农业大学农学院,桂审稻2015011号,桂审稻,2015011,G软华A,华南农业大学农学院
广西,野香优818,野香A×R818,籼型三系杂交稻,广西绿海种业有限公司,桂审稻2020106号,桂审稻,2020106,野香A,广西绿海种业有限公司
广西,威优207,威20A×先恢207,籼型三系杂交稻,湖南杂交水稻研究中心,桂审稻2001102号,桂审稻,2001102,威20A,湖南杂交水稻研究中心
广西,良丰优838,良丰A×辐恢838,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2015010号,桂审稻,2015010,良丰A,广西农业科学院水稻研究所
广西,博优7118,博A×R7118,籼型三系杂交稻,广西绿丰种业有限责任公司等,桂审稻2013017号,桂审稻,2013017,博A,广西绿丰种业有限责任公司
广西,广8优龙丝苗,广8A×龙丝苗,籼型三系杂交稻,广西兆和种业有限公司等,桂审稻2020058号,桂审稻,2020058,广8A,广西兆和种业有限公司
广西,美优1025,美A×桂1025,籼型三系杂交稻,广西农业科学院水稻研究所,桂审稻2001041号,桂审稻,2001041,美A,广西农业科学院水稻研究所
海南,爽两优138,爽1S×强恢38,籼型两系杂交稻,西科农业集团股份有限公司等,琼审稻2021012,琼审稻,2021012,爽1S,西科农业集团股份有限公司
广西,巡两优151,巡天15S×R151,籼型两系杂交稻,贺州市农业科学院等,桂审稻2020127号,桂审稻,2020127,巡天15S,贺州市农业科学院
